6263127;1,43;1235;311446;2014;"100";20,33;01.06.14 02:07:02;"2456810";"2"
6262972;1,43;1235;311446;2014;"100";20,45;01.06.14 01:37:49;"2456810";"2"
6263128;1,43;1235;311446;2014;"100";20,54;01.06.14 01:56:31;"2456810";"2"
6263117;1,43;1235;311446;2014;"100";20,66;01.06.14 01:51:17;"2456810";"2"
6266485;1,19;1505;211288;2014;"400";23,04;01.06.14 12:37:16;"2456810";"1"
6165571;0,69;1000;207699;2014;"900";2,49;19.05.14 22:39:32;"2456797";"1"
6165869;0,74;1465;209606;2014;"200";31,11;19.05.14 23:18:51;"2456797";"1"
6165699;0,74;1465;209606;2014;"200";31,35;19.05.14 23:08:10;"2456797";"1"
6165868;0,74;1465;209606;2014;"200";31,43;19.05.14 23:23:35;"2456797";"1"
6165865;0,74;1465;209606;2014;"200";31,51;19.05.14 23:14:06;"2456797";"1"
6165566;1,18;1025;209644;2014;"400";25,75;19.05.14 22:34:42;"2456797";"1"
6165030;0,74;1335;209088;2014;"400";30,43;19.05.14 21:05:10;"2456797";"1"
6165867;0,74;1465;209606;2014;"200";31,17;19.05.14 23:27:15;"2456797";"1"
6165368;0,84;1105;209647;2014;"100";23,88;19.05.14 21:46:02;"2456797";"1"
6226444;2,46;1230;211306;2014;"200";26,15;27.05.14 16:48:06;"2456805";"2"
6226442;2,46;1230;211306;2014;"200";25,9;27.05.14 16:54:07;"2456805";"2"
6266600;1,19;1505;211288;2014;"400";26,58;01.06.14 12:42:13;"2456810";"1"
6266487;1,19;1505;211288;2014;"300";9,76;01.06.14 12:34:51;"2456810";"1"
6268539;0,4;1235;311123;2014;"300";1,93;01.06.14 18:24:09;"2456810";"4"
6202566;1,87;1250;211086;2014;"200";7,86;24.05.14 20:36:49;"2456802";"2"
6228534;0,7;875;210849;2014;"200";21,34;27.05.14 22:31:58;"2456805";"3"
6164735;0,74;1415;209600;2014;"400";22,69;19.05.14 19:45:10;"2456797";"1"
6164585;0,75;1415;209600;2014;"400";10,05;19.05.14 19:22:56;"2456797";"1"
6164587;0,75;1415;209600;2014;"400";9,89;19.05.14 19:28:51;"2456797";"1"
6164880;0,74;1415;209600;2014;"400";19,41;19.05.14 20:17:41;"2456797";"1"
6165036;0,74;1335;107673;2014;"400";19,84;19.05.14 21:01:35;"2456797";"1"
6164882;0,74;1415;209600;2014;"400";22,13;19.05.14 20:23:32;"2456797";"1"
5726329;2;1525;105256;2014;"100";31,63;25.03.14 21:17:16;"2456742";"4"
5726016;1,5;1525;105262;2014;"100";33,23;25.03.14 20:30:06;"2456742";"4"
5781317;0,33;1250;206405;2014;"400";4,86;01.04.14 08:49:32;"2456749";"2"
5733446;0,88;975;104732;2014;"500";22,23;26.03.14 15:21:10;"2456743";"3"
5726175;1,5;1525;105262;2014;"100";33,18;25.03.14 20:34:43;"2456742";"4"
5726176;2;1525;105256;2014;"100";32,91;25.03.14 20:42:11;"2456742";"4"
5726185;2;1525;105256;2014;"100";32,79;25.03.14 21:03:14;"2456742";"4"
5733443;0,88;975;104732;2014;"500";22,42;26.03.14 15:16:26;"2456743";"3"
3990011;1,13;1275;306519;2013;"100";18,47;02.04.13 14:34:30;"2456385";"5"
3990073;0,86;1275;302463;2013;"100";26,16;17.02.13 09:31:44;"2456341";"3"
6164584;0,75;1415;209600;2014;"400";7,72;19.05.14 19:20:32;"2456797";"1"
5945955;0,75;1390;208150;2014;"300";2,45;22.04.14 15:44:58;"2456770";"1"
6195748;1,19;1505;110457;2014;"500";32,5;23.05.14 21:14:43;"2456801";"1"
6195749;0,79;1365;210538;2014;"300";30,26;23.05.14 21:21:53;"2456801";"1"
5536429;0,33;1250;202506;2014;"100";11,12;02.03.14 23:45:11;"2456719";"2"
6266241;1,19;1505;211288;2014;"300";26,46;01.06.14 12:00:59;"2456810";"1"
6254505;0,76;1325;110050;2014;"600";5,31;31.05.14 00:38:04;"2456809";"3"
6285781;1,2;1275;311560;2014;"100";27,65;03.06.14 14:53:54;"2456812";"4"
6285790;1,5;1275;311560;2014;"300";26,72;03.06.14 15:09:55;"2456812";"4"
6285939;1,5;1275;311560;2014;"300";26,98;03.06.14 15:12:43;"2456812";"4"
6265888;1,19;1625;208631;2014;"500";18,72;01.06.14 10:59:45;"2456810";"1"
6265893;1,19;1625;208631;2014;"500";19,91;01.06.14 11:13:21;"2456810";"1"
6266102;1,19;1625;208631;2014;"500";28;01.06.14 11:23:08;"2456810";"1"
6266106;1,19;1625;208631;2014;"500";27,6;01.06.14 11:17:04;"2456810";"1"
5941695;0,89;1035;108098;2014;"400";3,92;22.04.14 01:16:35;"2456770";"3"
5821060;0,36;1250;206494;2014;"900";9,45;06.04.14 14:54:33;"2456754";"2"
5945257;0,8;1515;207808;2014;"300";5,82;22.04.14 13:57:25;"2456770";"3"
5925592;2,81;1050;308087;2014;"400";25,5;19.04.14 21:00:31;"2456767";"2"
5925590;2,81;1050;308087;2014;"400";25,75;19.04.14 21:07:26;"2456767";"2"
5925533;2,81;1050;308087;2014;"400";25,31;19.04.14 20:55:04;"2456767";"2"
5925661;2,81;1050;308087;2014;"400";25,63;19.04.14 21:14:58;"2456767";"2"
5925662;2,81;1050;308087;2014;"400";25,81;19.04.14 21:20:52;"2456767";"2"
5925664;2,81;1050;308087;2014;"600";21,01;19.04.14 21:25:35;"2456767";"2"
5902785;0,86;1625;107295;2014;"100";4,85;17.04.14 00:30:57;"2456765";"3"
5904160;0,76;1285;107673;2014;"500";5,1;17.04.14 04:00:52;"2456765";"1"
5938401;0,4;1025;307682;2014;"800";3,07;21.04.14 14:29:52;"2456769";"4"
5938341;0,4;1025;307682;2014;"800";3,67;21.04.14 14:17:07;"2456769";"4"
5815535;0,7;875;106843;2014;"400";3,45;05.04.14 20:33:47;"2456753";"3"
5796372;0,45;995;306788;2014;"100";3,53;03.04.14 09:02:09;"2456751";"4"
5815537;0,7;875;106843;2014;"400";4,74;05.04.14 20:29:26;"2456753";"3"
5832009;0,76;1430;106951;2014;"200";6,48;08.04.14 01:49:35;"2456756";"3"
5805298;0,28;1250;306981;2014;"100";4,12;04.04.14 10:52:22;"2456752";"2"
5871394;0,38;1250;307364;2014;"300";4,64;13.04.14 04:30:23;"2456761";"2"
